647,791
403,531
403,822
16,239
16,43
129,130
446,565
913,956
333,748
333,488
333,833
772,884
772,913
666,884
666,996
698,784
698,984
96,870
83,566
83,166
884,913
419,553
400,716
400,451
123,407
123,487
123,753
302,378
165,223
165,207
947,999
196,343
196,485
436,565
910,988
481,513
105,698
105,971
302,751
302,337
302,554
302,359
302,813
221,438
6,913
988,993
472,733
84,552
84,398
84,348
951,981
696,702
696,749
343,485
140,271
140,624
560,750
145,626
251,302
251,378
46,481
46,513
46,406
267,674
267,508
4,543
4,825
174,584
174,446
174,401
174,532
188,913
188,956
188,412
188,372
188,865
543,825
283,698
283,644
283,784
283,984
435,881
435,469
435,484
352,527
348,974
219,970
219,560
219,710
219,594
209,868
209,233
209,750
370,419
370,553
161,539
161,960
233,868
233,750
172,733
172,313
87,226
26,979
26,616
26,54
828,925
295,536
644,698
644,784
644,984
399,935
399,889
539,948
168,433
168,879
168,777
407,487
407,753
401,455
43,388
43,486
43,849
43,270
43,432
181,275
374,552
374,970
388,486
388,849
388,432
78,302
78,751
78,337
78,554
78,359
78,813
165,168
165,433
165,879
165,777
342,647
342,620
433,879
433,777
14,925
14,828
14,570
564,633
95,403
95,647
95,556
27,277
27,592
27,462
153,552
139,196
139,343
139,189
139,485
40,270
40,463
40,227
40,429
45,673
45,777
502,992
502,830
486,849
205,890
205,689
205,613
205,632
205,478
476,587
476,520
698,971
531,822
328,494
756,934
174,601
403,647
403,556
201,993
201,518
201,566
74,161
74,539
74,960
74,158
47,993
47,201
47,518
47,101
47,566
525,741
525,864
119,227
119,168
82,156
82,654
197,345
543,882
543,704
497,674
497,616
350,748
350,518
464,593
831,954
831,972
518,993
518,566
305,399
305,935
305,889
486,947
486,999
152,399
152,935
152,305
152,183
152,889
183,399
183,935
183,305
183,889
704,882
689,890
582,761
565,755
565,892
320,770
718,795
718,907
70,564
70,633
70,560
125,967
125,534
125,362
407,826
562,830
517,916
270,388
270,486
270,849
270,432
189,196
189,343
189,485
640,687
43,239
748,833
620,960
620,835
84,519
459,587
459,476
459,520
795,907
427,647
427,791
427,472
427,441
424,960
424,620
424,835
729,885
729,855
334,521
271,624
560,970
560,710
560,594
938,988
938,993
24,960
24,620
24,424
24,835
741,864
180,877
180,366
564,654
552,970
784,984
469,882
469,543
469,704
700,976
700,924
410,443
175,711
627,895
412,913
412,956
412,865
298,756
298,934
529,956
442,648
613,890
613,689
613,632
45,161
45,201
45,210
207,223
632,890
632,689
57,472
57,733
57,260
282,336
366,877
72,174
72,584
72,446
72,401
72,532
447,522
518,748
954,972
156,654
835,960
118,580
260,472
260,733
61,636
61,662
61,114
61,352
289,870
166,566
358,831
358,954
358,972
228,678
366,560
366,750
639,877
451,716
477,578
477,607
628,635
362,682
488,748
488,833
167,617
47,124
480,597
72,848
72,665
72,725
101,993
101,201
101,518
101,566
432,486
432,849
539,960
42,153
42,552
636,662
673,777
152,587
152,476
152,459
152,520
97,832
97,362
97,350
176,442
176,648
348,627
348,895
924,976
277,592
277,462
710,970
446,584
446,532
195,944
430,674
430,497
430,495
430,616
570,925
570,828
494,909
494,904
494,839
110,525
110,741
110,864
270,463
270,429
665,848
665,725
751,813
66,988
66,993
66,938
66,508
66,165
66,290
469,881
469,484
337,751
337,554
337,359
337,813
10,295
10,27
10,536
398,552
578,607
699,772
699,884
699,913
161,201
161,210
112,852
167,697
362,832
662,951
662,981
662,664
45,654
45,564
393,875
393,615
445,863
168,227
755,892
21,560
21,366
21,750
80,195
80,944
59,494
59,909
59,904
59,839
855,885
296,373
114,636
114,662
114,352
162,413
438,529
438,956
200,517
200,916
200,359
889,935
6,927
6,23
534,967
830,992
472,647
472,791
122,181
122,275
508,988
508,993
508,938
556,647
378,993
487,753
36,852
36,112
373,524
227,270
227,463
227,429
394,464
725,848
484,881
758,815
474,569
238,315
350,832
350,362
478,890
478,689
478,613
478,632
27,295
27,536
356,682
356,362
664,951
664,981
372,913
372,956
372,412
372,865
230,627
230,348
230,895
554,751
554,813
441,647
441,791
441,472
702,749
497,758
497,512
497,815
520,587
201,210
348,552
348,398
750,868
233,967
233,332
158,161
158,539
158,960
508,674
174,464
174,593
166,477
166,578
166,607
403,940
566,993
33,910
33,988
33,598
616,979
9,434
273,951
273,981
273,662
273,664
560,564
560,633
777,879
352,636
352,662
11,616
83,221
83,438
512,758
512,815
19,84
19,519
313,733
19,315
19,238
615,875
165,988
165,993
165,938
165,508
165,290
865,913
865,956
495,674
495,497
495,616
598,910
598,988
362,967
362,534
401,584
401,446
401,532
82,326
884,996
429,463
54,979
54,616
616,674
359,751
359,554
359,813
290,988
290,993
290,938
290,508
7,696
7,702
7,749
378,582
378,761
289,539
289,948
326,419
326,370
326,553
71,413
71,162
544,976
544,700
544,924
532,584
69,181
69,275
69,122
406,481
406,513
205,891
594,970
594,710
113,524
113,373
332,967
462,592
383,941
136,640
136,687
620,647
54,951
54,981
54,662
54,664
54,273
317,881
317,435
317,469
317,484
904,909
23,927
359,517
359,916
427,635
427,628
103,400
103,716
103,451
839,909
839,904
